snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms
260,260,1764882602116,1764882602118,2,50
261,261,1764882602167,1764882602168,1,50
262,262,1764882602219,1764882602219,0,51
263,263,1764882602270,1764882602270,0,51
264,264,1764882602321,1764882602322,1,52
265,265,1764882602372,1764882602373,1,51
266,266,1764882602423,1764882602424,1,51
267,267,1764882602474,1764882602474,0,50
268,268,1764882602525,1764882602525,0,51
269,269,1764882602576,1764882602576,0,51
270,270,1764882602627,1764882602627,0,51
271,271,1764882602679,1764882602679,0,52
272,272,1764882602730,1764882602731,1,52
273,273,1764882602782,1764882602782,0,51
274,274,1764882602833,1764882602833,0,51
275,275,1764882602884,1764882602887,3,54
276,276,1764882602936,1764882602936,0,49
277,277,1764882602986,1764882602987,1,51
278,278,1764882603038,1764882603038,0,51
279,279,1764882603089,1764882603089,0,51
280,280,1764882603140,1764882603140,0,51
281,281,1764882603191,1764882603191,0,51
282,282,1764882603242,1764882603242,0,51
283,283,1764882603294,1764882603294,0,52
284,284,1764882603345,1764882603345,0,51
285,285,1764882603396,1764882603396,0,51
286,286,1764882603447,1764882603448,1,52
287,287,1764882603499,1764882603499,0,51
288,288,1764882603550,1764882603550,0,51
289,289,1764882603601,1764882603601,0,51
290,290,1764882603652,1764882603652,0,51
291,291,1764882603703,1764882603705,2,53
292,292,1764882603754,1764882603754,0,49
293,293,1764882603808,1764882603809,1,55
294,294,1764882603866,1764882603867,1,58
295,295,1764882603918,1764882603918,0,51
296,296,1764882603969,1764882603969,0,51
297,297,1764882604020,1764882604082,62,113
298,298,1764882604071,1764882604084,13,2
299,299,1764882604122,1764882604123,1,39
92,1764882601092,0,51
241,241,1764882601143,1764882601148,5,56
242,242,1764882601194,1764882601194,0,46
243,243,1764882601245,1764882601246,1,52
244,244,1764882601297,1764882601302,5,56
245,245,1764882601348,1764882601354,6,52
246,246,1764882601399,1764882601404,5,50
247,247,1764882601450,1764882601452,2,48
248,248,1764882601501,1764882601503,2,51
249,249,1764882601552,1764882601552,0,49
250,250,1764882601603,1764882601603,0,51
251,251,1764882601654,1764882601655,1,52
252,252,1764882601706,1764882601706,0,51
253,253,1764882601757,1764882601757,0,51
254,254,1764882601808,1764882601808,0,51
255,255,1764882601859,1764882601859,0,51
256,256,1764882601910,1764882601911,1,52
257,257,1764882601961,1764882601961,0,50
258,258,1764882602012,1764882602013,1,52
259,259,1764882602064,1764882602070,6,57
260,260,1764882602115,1764882602119,4,49
261,261,1764882602167,1764882602169,2,50
262,262,1764882602218,1764882602218,0,49
263,263,1764882602269,1764882602269,0,51
264,264,1764882602320,1764882602321,1,52
265,265,1764882602371,1764882602372,1,51
266,266,1764882602423,1764882602423,0,51
267,267,1764882602474,1764882602474,0,51
268,268,1764882602525,1764882602525,0,51
269,269,1764882602576,1764882602578,2,53
270,270,1764882602627,1764882602631,4,53
271,271,1764882602678,1764882602682,4,51
272,272,1764882602730,1764882602730,0,48
273,273,1764882602782,1764882602782,0,52
274,274,1764882602833,1764882602833,0,51
275,275,1764882602884,1764882602884,0,51
276,276,1764882602935,1764882602935,0,51
277,277,1764882602986,1764882602986,0,51
278,278,1764882603037,1764882603037,0,51
279,279,1764882603088,1764882603094,6,57
280,280,1764882603140,1764882603143,3,49
281,281,1764882603191,1764882603195,4,52
282,282,1764882603242,1764882603243,1,48
283,283,1764882603293,1764882603298,5,55
284,284,1764882603344,1764882603345,1,47
285,285,1764882603396,1764882603396,0,51
286,286,1764882603447,1764882603447,0,51
287,287,1764882603498,1764882603498,0,51
288,288,1764882603549,1764882603550,1,52
289,289,1764882603600,1764882603601,1,51
290,290,1764882603652,1764882603659,7,58
291,291,1764882603703,1764882603706,3,47
292,292,1764882603754,1764882603762,8,56
293,293,1764882603805,1764882603813,8,51
294,294,1764882603866,1764882603866,0,53
295,295,1764882603917,1764882603968,51,102
296,296,1764882603968,1764882603969,1,1
297,297,1764882604019,1764882604091,72,122
298,298,1764882604071,1764882604091,20,0
